X,Y
863,50739.0
864,32936.0
865,28958.0
866,28657.0
867,29736.0
868,36578.0
869,51157.0
870,49067.0
871,31828.0
872,29655.0
873,29244.0
874,30119.0
875,37201.0
876,50732.0
877,48703.0
878,34433.0
879,36286.0
880,38283.0
881,41818.0
882,49038.0
883,49987.0
884,40147.0
885,41001.0
886,48045.0
887,51471.0
888,52912.0
889,53098.0
890,50684.0
891,46232.0
892,52429.0
893,48285.0
894,44854.0
895,50157.0
896,51292.0
897,53700.0
898,52376.0
899,38653.0
900,33104.0
901,32745.0
902,33721.0
903,42329.0
904,55749.0
905,53227.0
906,51798.0
907,38440.0
908,37290.0
909,34419.0
910,38146.0
911,53376.0
912,51532.0
913,36635.0
914,32209.0
915,31588.0
916,33128.0
917,39016.0
918,53075.0
919,51883.0
920,35104.0
921,31239.0
922,30696.0
923,32280.0
924,39913.0
925,54077.0
926,52830.0
927,30815.0
928,28436.0
929,32811.0
930,29316.0
931,35904.0
932,49915.0
933,49215.0
934,33272.0
935,28845.0
936,28889.0
937,29804.0
938,37630.0
939,48082.0
940,45887.0
941,43585.0
942,31951.0
943,29892.0
944,31610.0
945,35657.0
946,48424.0
947,45713.0
948,31360.0
949,29040.0
950,29040.0
951,29841.0
952,36448.0
953,50390.0
954,47990.0
955,30251.0
956,26169.0
957,29637.0
958,28716.0
959,33015.0
960,47758.0
961,44688.0
962,28952.0
963,29810.0
964,28047.0
965,27844.0
966,37184.0
967,45103.0
968,43593.0
969,26626.0
970,26088.0
971,29596.0
972,27091.0
973,30250.0
974,40724.0
975,38936.0
976,27947.0
977,27665.0
978,29754.0
979,32140.0
980,41688.0
981,40048.0
982,36625.0
983,36328.0
984,30240.0
985,30231.0
986,29040.0
987,31654.0
988,41215.0
989,38974.0
990,26369.0
991,22874.0
992,22132.0
993,23014.0
994,27666.0
995,39056.0
996,39198.0
997,25909.0
998,21506.0
999,20911.0
1000,20281.0
1001,26284.0
1002,34548.0
1003,33388.0
1004,22504.0
1005,19814.0
1006,21427.0
1007,19525.0
1008,24099.0
1009,32912.0
1010,33165.0
1011,22527.0
1012,20969.0
1013,19105.0
1014,19905.0
1015,23174.0
1016,31966.0
1017,30989.0
1018,21574.0
1019,17686.0
1020,17790.0
1021,18048.0
1022,21085.0
1023,29655.0
1024,27730.0
1025,17963.0
1026,17682.0
1027,18103.0
1028,17663.0
1029,21885.0
1030,30104.0
1031,29911.0
1032,20201.0
1033,17818.0
1034,16401.0
1035,17411.0
1036,22317.0
1037,27089.0
1038,27235.0
1039,25990.0
1040,20357.0
1041,20766.0
1042,21040.0
1043,24834.0
1044,28464.0
1045,27872.0
1046,21935.0
1047,21898.0
1048,22325.0
1049,22547.0
1050,25949.0
1051,27489.0
1052,27132.0
1053,24329.0
1054,23811.0
1055,23687.0
1056,24005.0
1057,25166.0
1058,25866.0
1059,25051.0
1060,24708.0
1061,24854.0
1062,25882.0
1063,24985.0
1064,27021.0
1065,25985.0
1066,26192.0
1067,26347.0
1068,25988.0
1069,25566.0
1070,25291.0
1071,26308.0
1072,24409.0
1073,24131.0
1074,26502.0
1075,24406.0
1076,23308.0
1077,25396.0
1078,25963.0
1079,24015.0
1080,23884.0
1081,26239.0
1082,25084.0
1083,25449.0
1084,24939.0
1085,25343.0
1086,23542.0
1087,23953.0
1088,26128.0
1089,26047.0
1090,25117.0
1091,25516.0
1092,25959.0
1093,24635.0
1094,25535.0
1095,26573.0
1096,27017.0
